celltype,gene,marker_group,marker_order,actual_var_name,mean_expression,fraction_expressing_pct,celltype_n,scaled_mean_expression
Goblet,SH2D6,Tuft,16,SH2D6,0.0052417006406523005,0.46592894583576006,1717,0.0029077417545676134
Goblet,CD8A,CD8+ T cells,17,CD8A,0.0034944670937682005,0.34944670937682004,1717,0.0038611501001516685
Goblet,NKG7,CD8+ T cells,18,NKG7,0.005824111822947,0.5824111822947,1717,0.0
Goblet,GZMB,CD8+ T cells,19,GZMB,0.0052417006406523005,0.52417006406523,1717,0.013696182134601886
Goblet,LEF1,CD4+ T cells,20,LEF1,0.0005824111822947001,0.05824111822947001,1717,0.0050609523426987735
Goblet,IL7R,CD4+ T cells,21,IL7R,0.0034944670937682005,0.29120559114735,1717,0.0
Goblet,CD40LG,CD4+ T cells,22,CD40LG,0.0,0.0,1717,0.0
Goblet,MS4A1,B cells,23,MS4A1,0.0011648223645894002,0.11648223645894001,1717,0.0004646408326363721
Goblet,CD79A,B cells,24,CD79A,0.021549213744903904,1.3977868375072802,1717,0.0027631814804352822
Goblet,CD38,Plasma,25,CD38,0.0122306348281887,0.7571345369831101,1717,0.003427164178373646
Goblet,MZB1,Plasma,26,MZB1,0.08328479906814211,3.669190448456611,1717,0.0033804788318779226
Goblet,XBP1,Plasma,27,XBP1,1.163075131042516,57.25101921956901,1717,0.1499732862047676
Goblet,LYZ,Myeloid,28,LYZ,0.07047175305765871,6.29004076878276,1717,0.004163731822051435
Goblet,C1QA,Myeloid,29,C1QA,0.008153756552125802,0.8153756552125802,1717,0.0
Goblet,CD68,Myeloid,30,CD68,0.020966802562609202,1.9801980198019802,1717,0.009496579196118998
Enteroendocrine,LGR5,Stem/TA,1,LGR5,0.008944543828264758,0.8944543828264758,559,0.3344808406367914
Enteroendocrine,OLFM4,Stem/TA,2,OLFM4,0.012522361359570662,1.2522361359570662,559,0.051311701703581444
Enteroendocrine,MKI67,Stem/TA,3,MKI67,0.007155635062611807,0.7155635062611807,559,0.018631779650576708
Enteroendocrine,FABP1,Enterocytes,4,FABP1,1.4543828264758498,56.35062611806798,559,0.009831284104386656
Enteroendocrine,ALPI,Enterocytes,5,ALPI,0.0,0.0,559,0.0
Enteroendocrine,SLC26A3,Enterocytes,6,SLC26A3,0.23076923076923078,18.425760286225405,559,0.01638435955817949
Enteroendocrine,BEST4,Enterocytes,7,BEST4,0.03756708407871199,2.5044722719141324,559,0.007060615297528589
Enteroendocrine,MUC2,Goblet,8,MUC2,0.23971377459749552,10.37567084078712,559,0.009687798107935743
Enteroendocrine,TFF3,Goblet,9,TFF3,0.6028622540250447,20.39355992844365,559,0.016756054152000502
Enteroendocrine,SPDEF,Goblet,10,SPDEF,0.0035778175313059034,0.17889087656529518,559,0.008461587742771675
Enteroendocrine,CHGA,Enteroendocrine,11,CHGA,3.8998211091234345,10.196779964221825,559,1.0
Enteroendocrine,NEUROD1,Enteroendocrine,12,NEUROD1,0.2039355992844365,6.440071556350627,559,1.0
Enteroendocrine,TPH1,Enteroendocrine,13,TPH1,0.5760286225402504,5.008944543828265,559,1.0
Enteroendocrine,TRPM5,Tuft,14,TRPM5,0.0,0.0,559,0.0
Enteroendocrine,POU2F3,Tuft,15,POU2F3,0.0,0.0,559,0.0
Enteroendocrine,SH2D6,Tuft,16,SH2D6,0.007155635062611807,0.7155635062611807,559,0.003969463400987949
