celltype,gene,marker_group,marker_order,mean_expression_log1p_cp10k,scaled_mean_expression
Enterocytes,TYROBP,Myeloid,29,0.0251555136721977,0.0075209569823427
Goblet,TYROBP,Myeloid,29,0.0022915342544166,0.0006851194046607
Enteroendocrine,TYROBP,Myeloid,29,0.0,0.0
Tuft,TYROBP,Myeloid,29,0.019197410978134,0.0057396125565296
CD8+ T cells,TYROBP,Myeloid,29,0.4055019981525658,0.1212363668697456
CD4+ T cells,TYROBP,Myeloid,29,0.0,0.0
B cells,TYROBP,Myeloid,29,0.2003873186772093,0.0599114938862874
Plasma,TYROBP,Myeloid,29,8.96553627522873e-18,2.6805023156475044e-18
Myeloid,TYROBP,Myeloid,29,3.344722451046646,1.0
Stem/TA,CD68,Myeloid,30,0.008317804691009,0.0045482873112059
Enterocytes,CD68,Myeloid,30,0.0125168405719661,0.0068443765229783
Goblet,CD68,Myeloid,30,0.0011729837165589,0.00064140324911
Enteroendocrine,CD68,Myeloid,30,0.0190409585838829,0.0104118518692661
Tuft,CD68,Myeloid,30,0.0300651053944999,0.0164400033970123
CD8+ T cells,CD68,Myeloid,30,0.0095234847732081,0.0052075693721526
CD4+ T cells,CD68,Myeloid,30,0.0,0.0
B cells,CD68,Myeloid,30,0.0754870522940999,0.0412773339677857
Plasma,CD68,Myeloid,30,0.0635000187771379,0.0347226630576679
Myeloid,CD68,Myeloid,30,1.8287773225134296,1.0
